 247640598 -I- Model::Model::118                   : rawtiles: opening /home/toby/git/cpp/una-sdk/Docs/Tutorials/RawTilesMap/Resources/stanley.rawtiles -> ok
 247640598 -I- Model::Model::135                   : rawtiles header:
 247640598 -I- Model::Model::160                   : rawtiles: tile[0] first 32 bytes: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 
 247640598 -I- Model::Model::207                   : rawtiles: viewport centre = z=14 x=2587 y=5604
 247640598 -I- Model::Model::214                   : rawtiles: DIAG active — slot (col=1,row=1) carries orientation marker
 247640598 -I- Model::Model::229                   : rawtiles: 4/9 viewport tiles found in pack
 247640598 -I- Model::Model::248                   : rawtiles: DIAG registering solid-RED bitmap for slot (col=1,row=1)
 247640598 -I- Model::Model::265                   : rawtiles: DIAG cell (col=1,row=1) id=16 passed=0x4f4fe0 stored=0x4f4fe0 first_byte=0xc3
 247640598 -I- Model::Model::265                   : rawtiles: DIAG cell (col=2,row=1) id=17 passed=0x7fce719cf224 stored=0x7fce719cf224 first_byte=0xea
 247640598 -I- Model::Model::265                   : rawtiles: DIAG cell (col=1,row=2) id=18 passed=0x7fce719af224 stored=0x7fce719af224 first_byte=0xfa
 247640598 -I- Model::Model::265                   : rawtiles: DIAG cell (col=2,row=2) id=19 passed=0x7fce719df224 stored=0x7fce719df224 first_byte=0xfa
 247640598 -I- Model::Model::270                   : rawtiles: viewport filled 4/9 cells
 247641459 -I- TileCanvas::draw::48                : draw: slot (col=0,row=0) INVALID
 247641459 -I- TileCanvas::draw::48                : draw: slot (col=1,row=0) INVALID
 247641459 -I- TileCanvas::draw::48                : draw: slot (col=2,row=0) INVALID
 247641459 -I- TileCanvas::draw::48                : draw: slot (col=0,row=1) INVALID
 247641459 -I- TileCanvas::draw::52                : draw: slot (col=1,row=1) id=16 addr=0x4f4fe0 first_byte=0xc3
 247641459 -I- TileCanvas::draw::52                : draw: slot (col=2,row=1) id=17 addr=0x7fce719cf224 first_byte=0xea
 247641459 -I- TileCanvas::draw::48                : draw: slot (col=0,row=2) INVALID
 247641459 -I- TileCanvas::draw::52                : draw: slot (col=1,row=2) id=18 addr=0x7fce719af224 first_byte=0xfa
 247641459 -I- TileCanvas::draw::52                : draw: slot (col=2,row=2) id=19 addr=0x7fce719df224 first_byte=0xfa
