Phone timestamp;RR-interval [ms]
2026-07-22T18:41:53.291;513
2026-07-22T18:41:53.804;508
2026-07-22T18:41:54.312;519
2026-07-22T18:41:54.831;518
2026-07-22T18:41:55.349;508
2026-07-22T18:41:55.857;526
2026-07-22T18:41:56.383;526
2026-07-22T18:41:56.909;518
2026-07-22T18:41:57.427;522
2026-07-22T18:41:57.949;521
2026-07-22T18:41:58.470;521
2026-07-22T18:41:58.991;522
2026-07-22T18:41:59.513;524
2026-07-22T18:42:00.037;509
2026-07-22T18:42:00.546;524
2026-07-22T18:42:01.070;519
2026-07-22T18:42:01.589;498
2026-07-22T18:42:02.087;521
2026-07-22T18:42:02.608;519
2026-07-22T18:42:03.127;520
2026-07-22T18:42:03.647;518
2026-07-22T18:42:04.165;507
2026-07-22T18:42:04.672;518
2026-07-22T18:42:05.190;497
2026-07-22T18:42:05.687;518
2026-07-22T18:42:06.205;517
2026-07-22T18:42:06.722;518
2026-07-22T18:42:07.240;519
2026-07-22T18:42:07.759;517
2026-07-22T18:42:08.276;516
2026-07-22T18:42:08.792;515
2026-07-22T18:42:09.307;506
2026-07-22T18:42:09.813;514
2026-07-22T18:42:10.327;508
2026-07-22T18:42:10.835;490
2026-07-22T18:42:11.325;502
2026-07-22T18:42:11.827;511
2026-07-22T18:42:12.338;508
2026-07-22T18:42:12.846;500
2026-07-22T18:42:13.346;504
2026-07-22T18:43:09.870;481
2026-07-22T18:43:10.351;488
2026-07-22T18:43:10.839;489
2026-07-22T18:43:11.328;485
2026-07-22T18:43:11.813;494
2026-07-22T18:43:12.307;491
2026-07-22T18:43:12.798;491
2026-07-22T18:43:13.289;491
2026-07-22T18:43:13.780;493
2026-07-22T18:43:14.273;491
2026-07-22T18:43:14.764;485
2026-07-22T18:43:15.249;491
2026-07-22T18:43:15.740;491
2026-07-22T18:43:16.231;493
2026-07-22T18:43:16.724;487
2026-07-22T18:43:17.211;491
2026-07-22T18:43:17.702;490
2026-07-22T18:43:18.192;490
2026-07-22T18:43:18.682;490
2026-07-22T18:43:19.172;488
2026-07-22T18:43:19.660;486
2026-07-22T18:43:20.146;481
2026-07-22T18:43:20.627;485
2026-07-22T18:43:21.112;484
2026-07-22T18:43:21.596;477
2026-07-22T18:43:22.073;483
2026-07-22T18:43:22.556;478
2026-07-22T18:43:23.034;479
2026-07-22T18:43:23.513;479
2026-07-22T18:43:23.992;473
2026-07-22T18:43:24.465;477
2026-07-22T18:43:24.942;430
2026-07-22T18:43:25.372;493
2026-07-22T18:43:25.865;458
2026-07-22T18:43:26.323;453
2026-07-22T18:43:26.776;447
2026-07-22T18:43:27.223;459
2026-07-22T18:43:27.682;449
2026-07-22T18:43:28.131;452
2026-07-22T18:43:28.583;450
